# Athena++ data at time=2.002854e-01  cycle=11  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0002 -1.98000e+00  3.00000e+00  3.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
0003 -1.94000e+00  3.00000e+00  3.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
0004 -1.90000e+00  3.00000e+00  3.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
0005 -1.86000e+00  3.00000e+00  3.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
0006 -1.82000e+00  3.00000e+00  3.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
0007 -1.78000e+00  3.00000e+00  3.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
0008 -1.74000e+00  3.00000e+00  3.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
0009 -1.70000e+00  3.00000e+00  3.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
0010 -1.66000e+00  3.00000e+00  3.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
0011 -1.62000e+00  3.00000e+00  3.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
0012 -1.58000e+00  3.00000e+00  3.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
0013 -1.54000e+00  3.00000e+00  3.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
0014 -1.50000e+00  3.00000e+00  3.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
0015 -1.46000e+00  3.00000e+00  3.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
0016 -1.42000e+00  3.00000e+00  3.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
0017 -1.38000e+00  3.00000e+00  3.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
0018 -1.34000e+00  3.00000e+00  3.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
0019 -1.30000e+00  3.00000e+00  3.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
0020 -1.26000e+00  3.00000e+00  3.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
